Year,GeoCode,Value
3325,2018,,3.2
3335,2015,,3.3
3336,2016,,3.6
3337,2017,,3.4
3338,2018,,3.3
3348,2015,,3.4
3349,2016,,3.2
3350,2017,,2.9
3351,2018,,3.1
3361,2015,,2.9
3362,2016,,2.7
3363,2017,,3.1
3364,2018,,2.7
3374,2015,,3.2
3375,2016,,3
3376,2017,,3
3377,2018,,2.9
3387,2015,,2.7
3388,2016,,2.7
3389,2017,,2.8
3390,2018,,2.7
3400,2015,,3.1
3401,2016,,2.8
3402,2017,,2.9
3403,2018,,3.2
3413,2015,,2.8
3414,2016,,2.8
3415,2017,,2.7
3416,2018,,2.5
3426,2015,,2.7
3427,2016,,2.8
3428,2017,,2.9
3429,2018,,3
3439,2015,,2.9
3440,2016,,2.9
3441,2017,,2.8
3442,2018,,2.7
3452,2015,,2.4
3453,2016,,2.3
3454,2017,,2.4
3455,2018,,2.3
3465,2015,,2.6
3466,2016,,2.5
3467,2017,,2.3
3468,2018,,2.5
3478,2015,,2.5
3479,2016,,2.4
3480,2017,,2.4
3481,2018,,2.3
3491,2015,,2.3
3492,2016,,2.5
3493,2017,,2.4
3494,2018,,2.6
3504,2015,,2.7
3505,2016,,2.8
3506,2017,,2.7
3507,2018,,2.5
3517,2015,,2.4
3518,2016,,2.4
3519,2017,,2.4
3520,2018,,2.4
3530,2015,,2.6
3531,2016,,3
3532,2017,,3
3533,2018,,2.9
3543,2015,,2.8
3544,2016,,3.2
3545,2017,,2.7
3546,2018,,2.6
3556,2015,,3.3
3557,2016,,2.8
3558,2017,,2.8
3559,2018,,2.5
3569,2015,,2.7
3570,2016,,2.5
3571,2017,,2.4
3572,2018,,2.5
3582,2015,,2.6
3583,2016,,2.4
3584,2017,,2.5
3585,2018,,2.5
3595,2015,,2.6
3596,2016,,2.4
3597,2017,,2.3
3598,2018,,2.5
3608,2015,,3.3
3609,2016,,3.4
3610,2017,,2.8
3611,2018,,2.9
3621,2015,,3.2
3622,2016,,2.9
3623,2017,,2.7
3624,2018,,3.2
3634,2015,,3
3635,2016,,3
3636,2017,,2.7
3637,2018,,2.6
3647,2015,,2.9
3648,2016,,2.7
3649,2017,,2.5
